cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
16,lonmins cfo to exit,2016,DISC-MEDIA-0535,Lonmins Cfo To Exit,Engineering News,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-22,1ca5bfab1aebf7c97b7e60c71272d2e6d65c425e9970e7dac85de019804229e3,manual_review_same_title_year
17,lonmins refined platinum output plummets on smelter shutdowns,2015,DISC-MEDIA-0538,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-01-29,a1fa425b392d03510d462dab459c40ac43afbb30cb9fd49d725e4008d2317265,manual_review_same_title_year
17,lonmins refined platinum output plummets on smelter shutdowns,2015,DISC-MEDIA-0539,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-02-06,9094fc5fc909f7dc6200aed6ef7f88fbe68c7e19b33f3411d73ae72932389c65,manual_review_same_title_year
18,magara takes the reins at lonmin furnace restarted,2013,DISC-MEDIA-0549,Magara Takes The Reins At Lonmin Furnace Restarted,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-01,17b4a6ea9bedaca24a1545e92d0d0cf825585652607c490f4ad7823341ff8970,manual_review_same_title_year
18,magara takes the reins at lonmin furnace restarted,2013,DISC-MEDIA-0550,Magara Takes The Reins At Lonmin Furnace Restarted,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-12,97bb08dfd619fd92322a2f415ac81806e2ab69495f8935082aeb2d518bef1f34,manual_review_same_title_year
19,marikana k4platinum group metals project south africa update,2023,DISC-MEDIA-0560,Marikana K4Platinum Group Metals Project South Africa Update,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-03-03,5ac7b336e44d8ec742d8aa27d845d48ddd625a58b9c259631e99513f6b6d5189,manual_review_same_title_year
19,marikana k4platinum group metals project south africa update,2023,DISC-MEDIA-0561,Marikana K4Platinum Group Metals Project South Africa Update,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-04-07,e50fe2091419989ea22a27b9c4af4bad7913ae1b0dfe29bf95b73dd883d73dfb,manual_review_same_title_year
19,marikana k4platinum group metals project south africa update,2023,DISC-MEDIA-0562,Marikana K4Platinum Group Metals Project South Africa Update,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-09-22,66867f1885ee7a83628468541f589c89b44900bf7d95994eb708b25058ad3535,manual_review_same_title_year
20,nothing off table as lonmin pursues value in low platinum price environment,2017,MEDIA-042,Nothing off table as Lonmin pursues value in low platinum price environment,Mining Weekly,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,6061ab8372dc8705607ee2e80f22eddb1823540cd28139c51c8ee580384ec589,manual_review_same_title_year
20,nothing off table as lonmin pursues value in low platinum price environment,2017,DISC-MEDIA-0590,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,Engineering News,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07-1,a1b43992dac2cbf5ac51cc090ff7eca053bfb18ccded46fc9b5e12de74342aee,manual_review_same_title_year
