text_sha256,cluster_size,canonical_id,candidate_id,is_canonical,title,year,publisher,source_url,metadata_source
82df3a9d1d0c2c7e95456c17a99478bbfd21dfc8ed7bf9366517081d967d7216,2,EXP-MEDIA-059,EXP-MEDIA-059,true,SA still waiting for action on Farlam Commission findings,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-08-16-sa-still-waiting-for-action-on-farlam-commission-findings/,expanded_media_candidates_batch2.csv
85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,3,WEB-MEDIA-004,EXP-MEDIA-067,false,Sibanye continues to make reparations at Marikana,2022,Mining Weekly,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,expanded_media_candidates_batch3.csv
85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,3,WEB-MEDIA-004,SAT-MEDIA-005,false,Sibanye continues to make reparations at Marikana,2022,Mining Weekly,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,expanded_media_candidates_saturation_2019_2023.csv
85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,3,WEB-MEDIA-004,WEB-MEDIA-004,true,Sibanye continues to make reparations at Marikana,2022,Mining Weekly,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,expanded_media_candidates_web_2019_2023.csv
8684828da74611d944c3e07478e13fcbd064e45469bfb068908b8ff77b7ab8f7,2,EXP-MEDIA-057,expanded_media_candidates__EXP-MEDIA-031,false,The legacy of Marikana: Accountability urgent to prevent another atrocity,2018,Daily Maverick,https://www.dailymaverick.co.za/article/2018-08-15-the-legacy-of-marikana-accountability-urgent-to-prevent-another-atrocity/,expanded_media_candidates.csv
8684828da74611d944c3e07478e13fcbd064e45469bfb068908b8ff77b7ab8f7,2,EXP-MEDIA-057,EXP-MEDIA-057,true,The legacy of Marikana: Accountability urgent to prevent another atrocity,2018,Daily Maverick,https://www.dailymaverick.co.za/article/2018-08-15-the-legacy-of-marikana-accountability-urgent-to-prevent-another-atrocity/,expanded_media_candidates_batch2.csv
8825ab2318ab4f6951ed03e04952b36b5662b84dac3f86c4860fa284bcdfe95b,2,expanded_official_candidates__EXP-OFFICIAL-009,expanded_official_candidates__EXP-OFFICIAL-009,true,Resolving labour tensions in African mining – the effective regulation of industrial democracy,2014,John Brand,https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-SAIIA-Roundtable.pdf,expanded_official_candidates.csv
8825ab2318ab4f6951ed03e04952b36b5662b84dac3f86c4860fa284bcdfe95b,2,expanded_official_candidates__EXP-OFFICIAL-009,expanded_official_candidates_batch1__EXP-OFFICIAL-008,false,Resolving labour tensions in African mining – The effective regulation of industrial democracy,2014,John Brand / Marikana Commission Phase 2,https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-SAIIA-Roundtable.pdf,expanded_official_candidates_batch1.csv
88eaf683fa20e5459e7370eb3ddd920796b83e3651d897087612bbcda777e415,2,expanded_media_candidates_batch1__EXP-MEDIA-041,expanded_media_candidates_batch1__EXP-MEDIA-041,true,Lonmin miners return to work,2013,Engineering News,https://www.engineeringnews.co.za/article/lonmin-miners-return-to-work-2013-05-15,expanded_media_candidates_batch1.csv
88eaf683fa20e5459e7370eb3ddd920796b83e3651d897087612bbcda777e415,2,expanded_media_candidates_batch1__EXP-MEDIA-041,SAT-EARLY-MEDIA-014,false,Lonmin miners return to work,2013,Engineering News / Sapa,https://www.engineeringnews.co.za/article/lonmin-miners-return-to-work-2013-05-15,expanded_media_candidates_saturation_2010_2018.csv
915f52080c81dac97b35af50a3fff0165753883fcae554b6bba18171c87d42a8,2,expanded_media_candidates__EXP-MEDIA-025,expanded_media_candidates__EXP-MEDIA-025,true,amaBhungane: 'War' looming over Marikana housing evictions,2016,Daily Maverick,https://www.dailymaverick.co.za/article/2016-08-31-amabhungane-war-looming-over-marikana-housing-evictions/,expanded_media_candidates.csv
915f52080c81dac97b35af50a3fff0165753883fcae554b6bba18171c87d42a8,2,expanded_media_candidates__EXP-MEDIA-025,expanded_media_candidates_batch2__EXP-MEDIA-051,false,amaBhungane: 'War' looming over Marikana housing evictions,2016,Daily Maverick,https://www.dailymaverick.co.za/article/2016-08-31-amabhungane-war-looming-over-marikana-housing-evictions/,expanded_media_candidates_batch2.csv
96c5940da3be55d96a4dd32fd89d4a2b44b1e29eb4ed3adf0bd480d1ac697891,2,expanded_media_candidates__EXP-MEDIA-019,expanded_media_candidates__EXP-MEDIA-019,true,"Marikana massacre: SAPS, Lonmin, Ramaphosa & time for blood. Miners' blood.",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-24-marikana-massacre-saps-lonmin-ramaphosa-time-for-blood-miners-blood/,expanded_media_candidates.csv
96c5940da3be55d96a4dd32fd89d4a2b44b1e29eb4ed3adf0bd480d1ac697891,2,expanded_media_candidates__EXP-MEDIA-019,expanded_media_candidates_batch1__EXP-MEDIA-017,false,"Marikana massacre: SAPS, Lonmin, Ramaphosa & time for blood. Miners' blood.",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-24-marikana-massacre-saps-lonmin-ramaphosa-time-for-blood-miners-blood/,expanded_media_candidates_batch1.csv
9a5336c74d76ef52480d800c3d0ee3237e633e6ffbd99d87a864cbc05256a367,2,MEDIA-057,MEDIA-057,true,"Mine workers have seen significant wage growth since Marikana, but social burdens undermine gains",2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-07-24-mine-workers-have-seen-significant-wage-growth-since-marikana-but-social-burdens-undermine-gains/,retrieval_manifest
9a5336c74d76ef52480d800c3d0ee3237e633e6ffbd99d87a864cbc05256a367,2,MEDIA-057,SAT4-MEDIA-003,false,"Mine workers have seen significant wage growth since Marikana, but social burdens undermine gains",2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-07-24-mine-workers-have-seen-significant-wage-growth-since-marikana-but-social-burdens-undermine-gains/,expanded_media_candidates_saturation_batch4.csv
9ce4957dd8c906e04ff650d7bad28fd70a61fd475c7b69b25c913e5908699acb,2,expanded_media_candidates__EXP-MEDIA-035,expanded_media_candidates__EXP-MEDIA-035,true,"Marikana massacre: The devastating impact of the narrative painted by business, police and the state",2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-08-26-marikana-massacre-the-devastating-impact-of-the-narrative-painted-by-business-police-and-the-state/,expanded_media_candidates.csv
9ce4957dd8c906e04ff650d7bad28fd70a61fd475c7b69b25c913e5908699acb,2,expanded_media_candidates__EXP-MEDIA-035,expanded_media_candidates_batch1__EXP-MEDIA-021,false,"Marikana massacre: The devastating impact of the narrative painted by business, police and the state",2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-08-26-marikana-massacre-the-devastating-impact-of-the-narrative-painted-by-business-police-and-the-state/,expanded_media_candidates_batch1.csv
9d912013d21925bb2185899c422d707ce1603f28416115e57f40dfd8ef712a01,2,EXP-MEDIA-055,expanded_media_candidates__EXP-MEDIA-028,false,"Marikana Massacre: 'He is fine, let him die'",2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-03-20-marikana-massacre-he-is-fine-let-him-die/,expanded_media_candidates.csv
