similarity,candidate_id_a,candidate_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,decision
0.978306,DISC-MEDIA-0534,DISC-MEDIA-0535,Lonmins Cfo To Exit,Lonmins Cfo To Exit,2016,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-12,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-22,manual_review_near_duplicate
0.977041,expanded_media_candidates_batch1__EXP-MEDIA-038,DISC-MEDIA-0456,Lonmin hands over New Marikana primary school to Basic Education dept,Lonmin Hands Over New Marikana Primary School To Basic Education Dept,2018,2018,Engineering News / Creamer Media,Engineering News,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-03-23,manual_review_near_duplicate
0.976624,DISC-MEDIA-0674,DISC-MEDIA-0675,Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-30,manual_review_near_duplicate
0.974657,MEDIA-047,DISC-MEDIA-0675,"Tribunal approves Sibanye, Lonmin merger; imposes 6-month moratorium on retrenchments",Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-30,manual_review_near_duplicate
0.970343,DISC-MEDIA-0454,DISC-MEDIA-0486,Lonmin Employee Killed In Mudslide,Lonmin Reports Fatality At Rowland Shaft,2015,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-employee-killed-in-mudslide-2015-10-27,https://www.engineeringnews.co.za/article/lonmin-reports-fatality-at-rowland-shaft-2016-05-09,manual_review_near_duplicate
0.967442,DISC-MEDIA-0525,DISC-MEDIA-0526,Lonmin Undertakes Refinancing Delivers On Results Promise,Lonmin Undertakes Refinancing Delivers On Results Promise,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-11-02,manual_review_near_duplicate
0.966808,MEDIA-048,DISC-MEDIA-0526,"Lonmin undertakes refinancing, delivers on results promise",Lonmin Undertakes Refinancing Delivers On Results Promise,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-11-02,manual_review_near_duplicate
0.966763,DISC-MEDIA-0560,DISC-MEDIA-0561,Marikana K4Platinum Group Metals Project South Africa Update,Marikana K4Platinum Group Metals Project South Africa Update,2023,2023,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-03-03,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-04-07,manual_review_near_duplicate
0.965708,DISC-MEDIA-0589,DISC-MEDIA-0590,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07-1,manual_review_near_duplicate
0.965223,MEDIA-042,DISC-MEDIA-0590,Nothing off table as Lonmin pursues value in low platinum price environment,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07-1,manual_review_near_duplicate
