min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
1,1,salience_times_contention,0.8,Market Stability,0.15,0.07636327993463574,0.13159257930166163,-0.018407420698338367
1,1,salience_times_contention,0.8,Local Employment,0.15,0.8605845116977221,0.2093975790268624,0.05939757902686241
1,1,salience_times_contention,0.8,Community Infrastructure,0.1,0.6649535170917107,0.12665895101745442,0.026658951017454413
1,1,salience_only,0.0,NPV,0.25,0.0670712464245957,0.25,0.0
1,1,salience_only,0.0,IRR,0.2,0.04962855540463783,0.2,0.0
1,1,salience_only,0.0,Geological Feasibility,0.15,0.20555535690608256,0.15,0.0
1,1,salience_only,0.0,Market Stability,0.15,0.08150390243062051,0.15,0.0
1,1,salience_only,0.0,Local Employment,0.15,0.8616838113175329,0.15,0.0
1,1,salience_only,0.0,Community Infrastructure,0.1,0.680260156872299,0.1,0.0
1,1,salience_only,0.1,NPV,0.25,0.0670712464245957,0.24513102296642866,-0.004868977033571337
1,1,salience_only,0.1,IRR,0.2,0.04962855540463783,0.1957650377487014,-0.004234962251298602
1,1,salience_only,0.1,Geological Feasibility,0.15,0.20555535690608256,0.14910184879047536,-0.0008981512095246336
1,1,salience_only,0.1,Market Stability,0.15,0.08150390243062051,0.14728947302447432,-0.002710526975525679
1,1,salience_only,0.1,Local Employment,0.15,0.8616838113175329,0.15868780096803944,0.00868780096803945
1,1,salience_only,0.1,Community Infrastructure,0.1,0.680260156872299,0.10402481650188078,0.0040248165018807736
1,1,salience_only,0.3,NPV,0.25,0.0670712464245957,0.23611531125102925,-0.013884688748970753
1,1,salience_only,0.3,IRR,0.2,0.04962855540463783,0.18792330867089924,-0.012076691329100775
1,1,salience_only,0.3,Geological Feasibility,0.15,0.20555535690608256,0.14743877411871587,-0.0025612258812841293
1,1,salience_only,0.3,Market Stability,0.15,0.08150390243062051,0.14227048656393873,-0.007729513436061264
1,1,salience_only,0.3,Local Employment,0.15,0.8616838113175329,0.17477469323073724,0.02477469323073725
1,1,salience_only,0.3,Community Infrastructure,0.1,0.680260156872299,0.11147742616467965,0.011477426164679644
1,1,salience_only,0.5,NPV,0.25,0.0670712464245957,0.22794915986608916,-0.022050840133910843
1,1,salience_only,0.5,IRR,0.2,0.04962855540463783,0.18082051426148613,-0.019179485738513885
1,1,salience_only,0.5,Geological Feasibility,0.15,0.20555535690608256,0.14593241278388625,-0.004067587216113749
1,1,salience_only,0.5,Market Stability,0.15,0.08150390243062051,0.13772444466181227,-0.012275555338187721
1,1,salience_only,0.5,Local Employment,0.15,0.8616838113175329,0.1893457001215218,0.039345700121521804
1,1,salience_only,0.5,Community Infrastructure,0.1,0.680260156872299,0.11822776830520439,0.01822776830520438
1,1,salience_only,0.8,NPV,0.25,0.0670712464245957,0.21704751704426467,-0.03295248295573533
1,1,salience_only,0.8,IRR,0.2,0.04962855540463783,0.17133843095954385,-0.028661569040456164
1,1,salience_only,0.8,Geological Feasibility,0.15,0.20555535690608256,0.1439214516274223,-0.006078548372577708
1,1,salience_only,0.8,Market Stability,0.15,0.08150390243062051,0.13165557295788735,-0.018344427042112643
1,1,salience_only,0.8,Local Employment,0.15,0.8616838113175329,0.2087976922766784,0.058797692276678415
1,1,salience_only,0.8,Community Infrastructure,0.1,0.680260156872299,0.1272393351342034,0.027239335134203402
2,1,salience_times_contention,0.0,NPV,0.25,0.031282150166366984,0.25,0.0
2,1,salience_times_contention,0.0,IRR,0.2,0.014259562144532875,0.2,0.0
2,1,salience_times_contention,0.0,Geological Feasibility,0.15,0.09876357542289904,0.15,0.0
2,1,salience_times_contention,0.0,Market Stability,0.15,0.01896454700443803,0.15,0.0
