candidate_id,title,year,publisher,metadata_source,source_url,final_url,raw_sha256,text_sha256,text_words
MEDIA-052,Sibanye-Stillwater intensifies PGMs presence,2019,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/sibanye-stillwater-intensifies-pgms-presence-2019-08-23,https://www.miningweekly.com/article/sibanye-stillwater-intensifies-pgms-presence-2019-08-23,82521cfa2938bda03e47ca45b185ebcd952c60cc9afb5cceb24bcf0f262e34dd,399add8961c0b17a5c6345b7a4731dda6c77c7a2cbcdc03501bd058dc7abd6e9,1201
MEDIA-053,Sibanye confirms final Marikana retrenchment figures,2020,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/sibanye-confirms-final-marikana-retrenchment-figures-2020-01-16,https://www.miningweekly.com/article/sibanye-confirms-final-marikana-retrenchment-figures-2020-01-16,a16080dec3a9116d311da2b68c815077141b4e1a9556b1a1e25465b40beb8e8d,d538cb764f7e9652e7d9aa02e873b8a924439001623f27b70cd3e86cdc8eee80,551
MEDIA-054,"Sibanye launches campaign to reimagine, foster Marikana community of the future",2021,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/sibanye-launches-campaign-to-reimagine-foster-marikana-community-of-the-future-2021-04-16,https://www.miningweekly.com/article/sibanye-launches-campaign-to-reimagine-foster-marikana-community-of-the-future-2021-04-16,045351f2fe2315c02db31474bf192dbce562f6c3cbdf262bb36c44646618057e,20a56b1c4dbea760ceef02a774ff6394ffc8128a44cb8116c89cbe89e841807e,1227
MEDIA-055,Sibanye to hold webcast series to aid healing and renewal in Marikana,2021,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,https://www.miningweekly.com/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,afb8d21cf0657365da803cfd56adc166b8eb3bdf679f1607058a1e51424f249f,2613ba3b2b86f52b948088b2ab4c973c98d9f933408eb9c735a403d25cb0a7a9,961
MEDIA-056,Amcu's Marikana PGM miners demand pay hikes of up to 40% from Sibanye,2022,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2022-05-03-exclusive-amcus-marikana-pgm-miners-demand-pay-hikes-of-up-to-40-from-sibanye/,https://www.dailymaverick.co.za/article/2022-05-03-exclusive-amcus-marikana-pgm-miners-demand-pay-hikes-of-up-to-40-from-sibanye/,7c2662ddc8f02c611ff884af84ab92382217890756adf54eedebad863c0abe26,39e628e6853f91deb9da67efeca2ae1201dcce06bdbc5bf9552f4a4fbde30aa4,615
MEDIA-057,"Mine workers have seen significant wage growth since Marikana, but social burdens undermine gains",2022,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2022-07-24-mine-workers-have-seen-significant-wage-growth-since-marikana-but-social-burdens-undermine-gains/,https://www.dailymaverick.co.za/article/2022-07-24-mine-workers-have-seen-significant-wage-growth-since-marikana-but-social-burdens-undermine-gains/,123e94ca6ba714ede24f51c9d0bb7d184c4b607002d0ab98b52dac0271de6b8e,9a5336c74d76ef52480d800c3d0ee3237e633e6ffbd99d87a864cbc05256a367,1877
MEDIA-058,Marikana miners: We'll fight another 10 years to taste justice,2022,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2022-08-13-mine-workers-symbolising-sas-tragic-day-well-fight-another-10-years-to-taste-justice/,https://www.dailymaverick.co.za/article/2022-08-13-mine-workers-symbolising-sas-tragic-day-well-fight-another-10-years-to-taste-justice/,0b26a074bfb76d996dc47c1aac13c6fe763b5a2c2504f88c386783cca14e3e2b,1314f0f7a504f71769daf5fc0133eb761a1f305dbfe843446107a2093374f468,2080
CORP-001,Lonmin Plc Annual Report and Accounts 2012,2012,Lonmin Plc,source_overrides,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2012.pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2012.pdf,8d52b61cb15ebf62ecdadc6edf8fd9ee0b3bff122ac9725b4681a898d1b1ac0a,544a9ffbe10c8e3f7d012fa4f6a4bb3392ad9ad5a9646b95b18c7a0791f63d9b,110199
CORP-002,Lonmin Plc Annual Report and Accounts 2013,2013,Lonmin Plc,source_overrides,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2013.pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2013.pdf,d262b5ecbc5d39d6fa3c9a7184042451023db4b43806713e8438a826f183c6d3,fab543ddd49d4cb286690013bb8955156cd26a4553a8cd367c2373d1dad73347,122802
CORP-003,Lonmin Plc Annual Report and Accounts 2014,2014,Lonmin Plc,source_overrides,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2014.pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2014.pdf,b6ca01afa36756f2170e2902ccdf6990a1a2a485ceb06f61197c0ae5b587bde9,21a259fe9aac57165c6ad3d241076c274136bbd0c5bab8ef5f32db08d15ff9f8,147966
