publisher,url,canonical_url,year,prescreen_status
Daily Maverick,https://www.dailymaverick.co.za/article/2015-03-16-mining-and-money-sibanyes-struggle-to-avoid-a-repeat-of-history/,https://dailymaverick.co.za/article/2015-03-16-mining-and-money-sibanyes-struggle-to-avoid-a-repeat-of-history,2015,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2015-09-10-mining-sibanye-goes-platinum-but-can-they-make-it-work/,https://dailymaverick.co.za/article/2015-09-10-mining-sibanye-goes-platinum-but-can-they-make-it-work,2015,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2018-02-07-trapped-miners-at-gauteng-sibanye-stillwater-gold-mine-confirmed-dead/,https://dailymaverick.co.za/article/2018-02-07-trapped-miners-at-gauteng-sibanye-stillwater-gold-mine-confirmed-dead,2018,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2018-04-04-op-ed-amcu-supports-the-need-to-move-rapidly-to-a-low-carbon-economy/,https://dailymaverick.co.za/article/2018-04-04-op-ed-amcu-supports-the-need-to-move-rapidly-to-a-low-carbon-economy,2018,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2018-05-04-4-dead-6-miners-trapped-underground-at-sibanye-mine/,https://dailymaverick.co.za/article/2018-05-04-4-dead-6-miners-trapped-underground-at-sibanye-mine,2018,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2018-08-07-amcu-threatens-strike-over-planned-retrenchment-of-13-400-implats-workers/,https://dailymaverick.co.za/article/2018-08-07-amcu-threatens-strike-over-planned-retrenchment-of-13-400-implats-workers,2018,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2018-12-07-joseph-mathunjwa-please-rethink-the-deadly-sibanye-stillwater-strike/,https://dailymaverick.co.za/article/2018-12-07-joseph-mathunjwa-please-rethink-the-deadly-sibanye-stillwater-strike,2018,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-09-the-balance-in-sas-bloody-strike-at-sibanye-stillwaters-mines-tips-slightly/,https://dailymaverick.co.za/article/2019-04-09-the-balance-in-sas-bloody-strike-at-sibanye-stillwaters-mines-tips-slightly,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-17-five-month-strike-at-sibanye-stillwater-gold-mines-has-ended-after-amcu-decided-to-cut-its-losses/,https://dailymaverick.co.za/article/2019-04-17-five-month-strike-at-sibanye-stillwater-gold-mines-has-ended-after-amcu-decided-to-cut-its-losses,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-25-department-of-labour-threatens-to-cancel-amcus-registration/,https://dailymaverick.co.za/article/2019-04-25-department-of-labour-threatens-to-cancel-amcus-registration,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-26-theyre-attacking-amcu-because-we-are-fighting-for-black-workers-mathunjwa/,https://dailymaverick.co.za/article/2019-04-26-theyre-attacking-amcu-because-we-are-fighting-for-black-workers-mathunjwa,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-29-deregistration-threat-to-amcu-calls-for-active-union-solidarity/,https://dailymaverick.co.za/article/2019-04-29-deregistration-threat-to-amcu-calls-for-active-union-solidarity,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-29-while-probably-at-fault-amcu-is-hardly-alone-in-seeing-a-political-agenda-in-moves-to-disband-it/,https://dailymaverick.co.za/article/2019-04-29-while-probably-at-fault-amcu-is-hardly-alone-in-seeing-a-political-agenda-in-moves-to-disband-it,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-06-14-amcu-tables-big-wage-demands-in-platinum-sector/,https://dailymaverick.co.za/article/2019-06-14-amcu-tables-big-wage-demands-in-platinum-sector,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-08-30-gold-strike-lay-off-costs-leave-sibanye-earnings-in-the-red/,https://dailymaverick.co.za/article/2019-08-30-gold-strike-lay-off-costs-leave-sibanye-earnings-in-the-red,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-09-19-mathunjwa-likely-to-remain-at-helm-as-amcu-holds-elective-conference/,https://dailymaverick.co.za/article/2019-09-19-mathunjwa-likely-to-remain-at-helm-as-amcu-holds-elective-conference,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-09-22-mathunjwa-evoking-god-and-hitler-remains-at-amcu-helm-as-platinum-wage-talks-rumble-on/,https://dailymaverick.co.za/article/2019-09-22-mathunjwa-evoking-god-and-hitler-remains-at-amcu-helm-as-platinum-wage-talks-rumble-on,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-10-02-amcus-mathunjwa-sees-platinum-wage-deals-on-the-horizon/,https://dailymaverick.co.za/article/2019-10-02-amcus-mathunjwa-sees-platinum-wage-deals-on-the-horizon,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-11-12-platinum-wage-deals-to-be-signed-on-wednesday-says-amcu/,https://dailymaverick.co.za/article/2019-11-12-platinum-wage-deals-to-be-signed-on-wednesday-says-amcu,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2019-11-15-amcu-again-says-that-platinum-wage-deals-will-be-signed/,https://dailymaverick.co.za/article/2019-11-15-amcu-again-says-that-platinum-wage-deals-will-be-signed,2019,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-02-04-interview-sibanye-ceo-froneman-plays-down-mponeng-speculation-says-new-gold-assets-should-be-shallow/,https://dailymaverick.co.za/article/2020-02-04-interview-sibanye-ceo-froneman-plays-down-mponeng-speculation-says-new-gold-assets-should-be-shallow,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-02-12-cry-of-the-xcluded-saftu-and-amcu-put-differences-aside-to-fight-austerity-and-ignite-the-left/,https://dailymaverick.co.za/article/2020-02-12-cry-of-the-xcluded-saftu-and-amcu-put-differences-aside-to-fight-austerity-and-ignite-the-left,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-03-09-amcu-asked-to-explain-salaries-and-services-in-financial-statements/,https://dailymaverick.co.za/article/2020-03-09-amcu-asked-to-explain-salaries-and-services-in-financial-statements,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-03-10-pgm-game-changer-basf-sibanye-and-implats-unveil-new-tri-metal-gasoline-catalyst/,https://dailymaverick.co.za/article/2020-03-10-pgm-game-changer-basf-sibanye-and-implats-unveil-new-tri-metal-gasoline-catalyst,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-05-05-amcus-joseph-mathunjwa-knows-when-to-take-on-capital/,https://dailymaverick.co.za/article/2020-05-05-amcus-joseph-mathunjwa-knows-when-to-take-on-capital,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-05-14-sibanyes-froneman-says-no-ma-until-debt-cut-and-dividend-revived/,https://dailymaverick.co.za/article/2020-05-14-sibanyes-froneman-says-no-ma-until-debt-cut-and-dividend-revived,2020,secondary_keyword_only_review
