candidate_id,status,title,year,publisher,metadata_source,source_url,final_url,http_status,content_type,retrieval_method,raw_bytes,raw_sha256,extraction_method,pages,text_chars,text_words,text_sha256,error
SAT-EARLY-MEDIA-014,acquired_extracted,Lonmin miners return to work,2013,Engineering News / Sapa,expanded_media_candidates_saturation_2010_2018.csv,https://www.engineeringnews.co.za/article/lonmin-miners-return-to-work-2013-05-15,https://www.engineeringnews.co.za/article/lonmin-miners-return-to-work-2013-05-15,200,text/html,http,246947,86ad081902f2a09f41e3471deff4a29c77e8665774735661be7166337bbcc22d,trafilatura,,4107,668,88eaf683fa20e5459e7370eb3ddd920796b83e3651d897087612bbcda777e415,
SAT-EARLY-MEDIA-015,acquired_extracted,NUM Lonmin chairperson shot dead in Marikana,2013,Engineering News / Reuters,expanded_media_candidates_saturation_2010_2018.csv,https://www.engineeringnews.co.za/article/num-lonmin-chairperson-shot-dead-in-marikana-2013-10-18,https://www.engineeringnews.co.za/article/num-lonmin-chairperson-shot-dead-in-marikana-2013-10-18,200,text/html,http,247128,0a157a5702587e1a3c158a60425a4604f9a218240f146102c9c5ccec5c26dc63,trafilatura,,3587,593,466508adfed3c746c274727f6a22373b849b045b53cb13aa6590efc801f01209,
SAT-EARLY-MEDIA-016,acquired_extracted,"Some return to work, others strike",2014,Engineering News / Sapa,expanded_media_candidates_saturation_2010_2018.csv,https://www.engineeringnews.co.za/article/some-return-to-work-others-strike-2014-05-14,https://www.engineeringnews.co.za/article/some-return-to-work-others-strike-2014-05-14,200,text/html,http,250750,e447f2e3961cf9e23a37286de82f8d64615bc14955e2eb838ac11a136ddd14f6,trafilatura,,4727,761,d7e6f3619aa6291b4d8b364301c09aec7a474c8cbb3e75d3a6f9fc2baad13be6,
SAT-EARLY-MEDIA-018,acquired_extracted,Platinum miner aims to complete housing project by 2014,2013,Mining Weekly,expanded_media_candidates_saturation_2010_2018.csv,https://www.miningweekly.com/article/platinum-miner-aims-to-complete-housing-project-by-2014-2013-03-29,https://www.miningweekly.com/article/platinum-miner-aims-to-complete-housing-project-by-2014-2013-03-29,200,text/html,http,259020,a592c50aa514fc239203a26e7b0e67bfa6c9bce401c8675b8cd9c66e8e7b2d74,trafilatura,,6978,1090,f64859a3cc39c64ad235e05d944f60c1b9ae858c87cd87ed7c526c496d334f87,
SAT-MEDIA-001,acquired_extracted,"Another year, another Marikana commemoration - but betrayal, neglect and injustice are still there",2019,Daily Maverick,expanded_media_candidates_saturation_2019_2023.csv,https://www.dailymaverick.co.za/article/2019-08-16-another-year-another-marikana-commemoration-but-betrayal-neglect-and-injustice-are-still-there/,https://www.dailymaverick.co.za/article/2019-08-16-another-year-another-marikana-commemoration-but-betrayal-neglect-and-injustice-are-still-there/,200,text/html,http,433099,597206d0cc1dfbb6574cc7ee25df57db36694ffccb651d8c83e772a0af0485b6,trafilatura,,7972,1383,c4bd63527bc078f97741de8f859db9ff066378622a780a2c79a2939d640a9c49,
SAT-MEDIA-002,acquired_extracted,Sibanye-Stillwater defeats mining communities challenging R5.4bn Lonmin merger,2019,Daily Maverick,expanded_media_candidates_saturation_2019_2023.csv,https://www.dailymaverick.co.za/article/2019-09-09-sibanye-stillwater-defeats-mining-communities-challenging-r5-4bn-lonmin-merger/,https://www.dailymaverick.co.za/article/2019-09-09-sibanye-stillwater-defeats-mining-communities-challenging-r5-4bn-lonmin-merger/,200,text/html,http,302441,6275fd7d6edf718d5a6f4448160707160933e88ffddb9e3b5218ff1e5a2f7bf2,trafilatura,,4511,716,a02549a1876e4f686d43896ea85910d345433912b42be26445cb1a72d2fe0bcb,
SAT-MEDIA-003,acquired_extracted,"Eight years later, families of killed Marikana miners still seek justice",2020,Daily Maverick,expanded_media_candidates_saturation_2019_2023.csv,https://www.dailymaverick.co.za/article/2020-08-14-eight-years-later-families-of-killed-marikana-miners-still-seek-justice/,https://www.dailymaverick.co.za/article/2020-08-14-eight-years-later-families-of-killed-marikana-miners-still-seek-justice/,200,text/html,http,282672,b03a5fb3f218368858a076f8bc27ccfefffd46384b0e59f30ae6e4f52458f4e6,trafilatura,,5415,918,031402a7167ac48f70c46956584f7575db43caf4bfd9e2c0b424f1e63a6faf9c,
SAT-MEDIA-004,acquired_extracted,Marikana and the many faces of justice,2021,Daily Maverick,expanded_media_candidates_saturation_2019_2023.csv,https://www.dailymaverick.co.za/article/2021-08-22-marikana-and-the-many-faces-of-justice/,https://www.dailymaverick.co.za/article/2021-08-22-marikana-and-the-many-faces-of-justice/,200,text/html,http,342773,3113b0c0261b5b329b1e2bf6ca274c38fe7e9f91b555f68aefb708bc2213e774,trafilatura,,5533,885,511f6e6b379ee9ed86e985127e944ff8887c52c0f229f439e340f192079ba365,
SAT-MEDIA-005,acquired_extracted,Sibanye continues to make reparations at Marikana,2022,Mining Weekly,expanded_media_candidates_saturation_2019_2023.csv,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,200,text/html,http,273542,0b0846ed1560a410fce854c92acc0638dacb2225ee197a283aab1af34d186c4d,trafilatura,,9941,1582,85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,
SAT-MEDIA-006,acquired_extracted,"Sibanye concludes five-year wage deal at Rustenburg, Marikana operations",2022,Engineering News,expanded_media_candidates_saturation_2019_2023.csv,https://www.engineeringnews.co.za/article/sibanye-concludes-five-year-wage-deal-at-rustenburg-marikana-operations-2022-10-28,https://www.engineeringnews.co.za/article/sibanye-concludes-five-year-wage-deal-at-rustenburg-marikana-operations-2022-10-28,200,text/html,http,253999,68e2281456c6977ca7ec825373a76915d52de2e1b150ad4921ba2689d2a27b97,trafilatura,,3851,599,f8a2558ab898d06afbd7bbd4487d92a7ad4ffb258e62f9a800600a0af042df62,
SAT-MEDIA-007,acquired_extracted,After the Bell: South African miners are by no means earning the ‘slave wages’ asserted by Amcu leader,2023,Daily Maverick,expanded_media_candidates_saturation_2019_2023.csv,https://www.dailymaverick.co.za/article/2023-12-10-after-the-bell-sa-miners-are-by-no-means-earning-the-slave-wages-asserted-by-amcus-mathunjwa/,https://www.dailymaverick.co.za/article/2023-12-10-after-the-bell-sa-miners-are-by-no-means-earning-the-slave-wages-asserted-by-amcus-mathunjwa/,200,text/html,http,299127,1fdeaba25d27a331c8da00be0f6648ecf775f3db6f41719cb07d4f660a35662b,trafilatura,,6084,1017,bfbc32ec233982d3a7c8f59ade02777d935b43d9f1bfae9580a606235daa6448,
SAT-MEDIA-011,acquired_extracted,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",2019,Mining Weekly,expanded_media_candidates_saturation_2019_2023.csv,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,200,text/html,http,264848,4b0820c0bc46acac0eb6a896e7032227a1cf3500ab0570d738ffd2dd1ba9f2ee,trafilatura,,4737,764,c94122a498152a45f32f39b92e46070b1952569252c6da5a7e7ea715869e20d9,
SAT-MEDIA-012,acquired_extracted,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,Mining Weekly,expanded_media_candidates_saturation_2019_2023.csv,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,200,text/html,http,260395,b6d6a5d3629eb501fcc2c2ecdc2a2e2c25b70bb01a6e17f17342076b9ec1ee13,trafilatura,,4862,768,1a85d6200a97535e6e670285c20e61c67306760932021614286cc1e1935ea2d4,
