candidate_id,title,year,publication_date_from_url,publisher,url,prescreen_bucket,targeted_fetch_status,retrieved_text_words,retrieved_text_sha256,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms,title_has_case_process_signal,title_has_routine_corporate_signal,evidence_class,evidence_note,review_decision,review_reason_code,review_note
DISC-MEDIA-0059,The Marikana Effect A Sharp Drop For The Anc In Septembers By Elections,2012,2012-09-21,Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-21-the-marikana-effect-a-sharp-drop-for-the-anc-in-septembers-by-elections/,explicit_case_title_review,retrieved_extracted,839,609700f7d8c1536c58ee99792f228cb4a4c692b845cfd57096985c62042a8cb4,,0,shooting_death;protest_unrest,2,,0,share_price;earnings_results;commodity_market,3,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0441,Lonmin Consults Unions,2013,2013-03-01,Engineering News,https://www.engineeringnews.co.za/article/lonmin-consults-unions-2013-03-01,lonmin_only_title_review,retrieved_extracted,439,14f008abcffa16b7daed58495db3ccf9fb537b4e131059169f5bc2d210967fe9,,0,union,1,,0,earnings_results;commodity_market,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0536,Lonmins New Ceo Shoulders Output Push As Costs Soar,2013,2013-04-04,Engineering News,https://www.engineeringnews.co.za/article/lonmins-new-ceo-shoulders-output-push-as-costs-soar-2013-04-04,lonmin_only_title_review,retrieved_extracted,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,,0,,0,,0,earnings_results,1,false,true,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0611,Ramaphosa To Step Down From Lonmin Mondi Boards,2013,2013-01-23,Engineering News,https://www.engineeringnews.co.za/article/ramaphosa-to-step-down-from-lonmin-mondi-boards-2013-01-23,lonmin_only_title_review,retrieved_extracted,658,7f600af792947488913192b249994f88b7913203077f58a45a0e7fff9382d923,,0,worker_miner,1,,0,earnings_results,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0151,Elections In Marikana The Mining Belt Makes Its Mark In Pictures,2014,2014-05-07,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-07-elections-in-marikana-the-mining-belt-makes-its-mark-in-pictures/,explicit_case_title_review,retrieved_extracted,122,24f0b9f71b0c108635d91bb84ad46eeb9e4a88d43dcd8425c9c65533191587a2,,0,,0,,0,,0,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0447,Lonmin Denies Allegations Of Tax Evasion,2014,2014-09-23,Engineering News,https://www.engineeringnews.co.za/article/lonmin-denies-allegations-of-tax-evasion-2014-09-23,lonmin_only_title_review,retrieved_extracted,666,ce75783b3d98db6feae876ac1175320d5b4b34adf26a63e7634fc9502f99136c,,0,worker_miner;wage,2,commission_inquiry,1,earnings_results;funding_debt;transaction,3,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0451,Lonmin Drops Vp Positions Introduces Coo In Board Shake Up,2014,2014-08-04,Engineering News,https://www.engineeringnews.co.za/article/lonmin-drops-vp-positions-introduces-coo-in-board-shake-up-2014-08-04,lonmin_only_title_review,retrieved_extracted,713,6b35d135fd429805f790b57fe9f32cf775b2d31c463e1926a66a53ebb794556d,,0,strike;worker_miner,2,,0,earnings_results;production_output,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0513,Lonmin To Bring Forward Planned Hearth Rebuild Of Number One Furnace After Leak,2014,2014-12-08,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-bring-forward-planned-hearth-rebuild-of-number-one-furnace-after-leak-2014-12-08,lonmin_only_title_review,retrieved_extracted,595,018b0b2f87e237783f00b10cc105928c5da3ec3366cdd01635ad1d0ac0987a5c,,0,strike;worker_miner,2,commission_inquiry,1,earnings_results;production_output;exploration_project,3,false,true,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0421,Lonmin Appoints Coo To Board,2015,2015-06-25,Engineering News,https://www.engineeringnews.co.za/article/lonmin-appoints-coo-to-board-2015-06-25,lonmin_only_title_review,retrieved_extracted,446,f2ffbb021f8d900a3b3c5fa0bfcd042ddecd350c4c253fe8e923293c04abac40,,0,worker_miner,1,,0,earnings_results;production_output,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0442,Lonmin Coo Resigns,2015,2015-02-24,Engineering News,https://www.engineeringnews.co.za/article/lonmin-coo-resigns-2015-02-24,lonmin_only_title_review,retrieved_extracted,403,90ad260cc8307146aa2fb449248a446ad95196909cb36167f5a91293dbf7d6c1,,0,worker_miner,1,,0,earnings_results,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
